Subject,deep_normal_likely,deep_normal_risk,deep_normal_severity,deep_thick_likely,deep_thick_risk,deep_thick_severity,deep_thin_likely,deep_thin_risk,deep_thin_severity,medium_normal_likely,medium_normal_risk,medium_normal_severity,medium_thick_likely,medium_thick_risk,medium_thick_severity,medium_thin_likely,medium_thin_risk,medium_thin_severity,shallow_normal_likely,shallow_normal_risk,shallow_normal_severity,shallow_thick_likely,shallow_thick_risk,shallow_thick_severity,shallow_thin_likely,shallow_thin_risk,shallow_thin_severity
1,2,2,4,1,1,5,5,5,5,2,3,3,2,1,3,4,5,2,3,1,1,1,1,1,6,2,1
2,2,3,6,2,1,5,7,7,7,2,2,3,1,2,4,6,5,4,2,1,1,1,1,1,7,1,1
3,2,6,6,1,1,6,6,7,6,3,4,5,1,1,5,6,7,5,4,1,1,1,1,1,6,1,1
4,2,3,4,1,2,6,6,6,5,3,3,3,1,2,3,7,5,3,3,1,1,1,1,1,6,1,1
5,2,2,5,1,1,6,5,5,6,1,1,2,1,1,3,4,5,2,1,1,1,1,1,1,6,2,1
6,5,2,6,2,3,6,6,6,6,2,2,2,1,1,6,6,2,2,1,1,1,1,1,1,6,1,1
7,3,4,6,2,2,6,6,6,6,3,4,4,2,3,4,5,6,4,2,1,1,1,1,1,6,1,1
8,1,2,5,1,1,5,6,6,5,2,1,2,1,1,2,5,3,2,1,1,1,1,1,1,5,1,1
9,2,2,1,2,1,1,3,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2
10,1,2,5,1,1,5,6,6,6,1,2,4,1,1,5,4,5,5,2,1,2,1,1,1,6,2,3
11,2,2,2,1,1,2,5,4,4,1,1,1,1,2,2,6,4,2,1,1,1,1,1,1,6,1,1
12,2,2,6,1,1,6,5,5,6,2,2,4,1,1,4,4,4,6,2,1,1,1,1,1,5,3,2
13,2,3,6,1,1,6,5,6,7,2,2,3,1,1,3,4,4,4,2,1,1,1,1,1,5,2,1
14,2,3,6,1,1,7,6,7,7,2,2,3,1,1,6,6,7,5,1,1,1,1,1,1,3,1,1
15,2,3,5,1,2,7,7,7,6,2,2,2,1,2,3,6,5,4,3,1,1,1,1,1,7,2,1
16,5,4,5,1,1,4,6,6,6,4,4,4,3,2,2,6,4,4,4,3,2,3,2,2,4,3,2
17,5,5,5,3,5,6,6,6,5,5,5,6,3,4,6,6,6,5,4,5,5,3,3,5,5,4,5
18,5,6,7,2,2,7,7,7,7,5,5,6,6,3,6,7,7,7,6,3,7,2,2,6,5,6,3
19,3,3,6,1,1,5,5,5,5,2,2,4,1,2,5,5,5,4,2,1,2,1,1,2,4,2,2
20,2,4,5,1,3,7,7,6,5,3,4,5,3,4,7,7,7,7,3,3,1,3,4,7,7,1,1
21,4,5,6,2,4,6,6,6,6,4,4,4,2,3,4,6,5,4,4,3,2,2,2,2,6,4,2
22,2,3,6,1,2,7,5,6,7,3,3,5,2,3,5,5,6,6,2,2,2,1,2,2,5,2,2
23,3,5,7,2,4,7,7,7,7,4,4,4,6,4,4,7,7,6,3,3,2,1,1,2,4,5,2
24,3,3,5,2,2,6,6,6,6,3,4,4,2,2,4,5,6,4,4,1,2,1,1,1,4,6,1
25,2,3,7,1,1,7,3,7,7,2,2,5,2,1,1,2,2,7,1,1,1,1,1,1,2,2,1
26,5,5,7,6,2,7,7,7,7,5,5,5,1,2,5,7,5,5,5,1,1,2,1,1,7,1,1
27,2,4,7,1,2,7,7,7,7,2,4,7,1,2,7,7,7,7,2,2,2,2,2,7,5,2,2
28,3,2,5,1,2,7,4,4,7,2,3,4,1,1,1,4,5,5,2,2,2,1,1,1,2,2,1
29,2,3,7,1,1,7,6,7,7,2,2,5,1,1,5,4,5,5,1,1,1,1,1,1,4,3,1
30,4,5,7,2,2,7,7,7,7,4,4,6,3,3,7,6,5,7,4,2,2,2,2,1,5,4,5
31,4,5,7,2,4,7,7,7,7,3,5,6,1,3,5,7,6,6,4,1,2,1,1,1,7,2,1
32,2,3,5,2,3,5,7,7,7,3,2,3,1,1,4,6,5,5,2,1,1,1,1,1,6,1,1
33,2,3,5,2,3,4,6,7,6,2,3,4,2,3,5,6,6,5,2,1,1,1,1,1,6,1,1
34,3,5,5,2,1,6,6,7,5,3,2,3,1,2,7,6,5,4,2,1,1,1,1,1,5,2,1
35,1,1,5,1,1,4,5,5,5,1,1,2,1,1,4,5,4,3,1,1,1,1,1,1,5,1,1
36,3,4,5,2,3,6,7,7,6,5,5,5,1,1,5,5,4,5,4,1,1,1,1,1,7,1,1
37,3,4,4,1,2,3,6,5,4,2,2,2,1,2,3,5,3,3,2,1,1,1,1,1,5,2,1
38,3,3,4,2,2,4,5,7,5,3,3,2,2,3,3,6,6,3,3,1,1,1,1,1,6,2,1
39,3,4,5,2,4,5,7,7,5,3,3,3,2,2,4,5,6,4,3,1,1,2,1,1,7,2,1
40,3,4,6,2,2,5,7,7,6,2,3,4,1,1,3,7,2,3,2,1,1,1,1,1,7,1,1
41,4,4,6,3,4,6,7,7,6,3,3,4,2,2,4,7,2,3,5,2,1,2,1,1,6,1,1
42,3,3,6,1,2,7,6,7,7,3,3,5,1,2,4,7,5,4,2,1,1,1,1,1,7,1,1
43,4,5,6,2,2,6,7,7,7,2,5,4,2,3,6,7,7,5,3,2,1,2,2,7,6,5,1
44,2,3,5,2,2,4,6,6,6,2,2,3,1,2,4,6,5,5,2,1,1,1,1,1,6,4,2
45,2,2,5,2,2,6,5,6,6,2,2,5,1,1,2,2,2,3,1,1,1,1,1,1,2,1,1